Full Timeline for Partition 0
Image: /home/utsav/Github/Cyber Chakshu/siem-tool/imageProcessor/2020JimmyWilson.E01
Offset: 65664 bytes
================================================================================

+++++++ r/r 3799-128-4:	{AFBF9F1A-8EE8-4C77-AF34-C647E37CA0D9}.1.ver0x0000000000000004.db	2015-05-26 18:16:15 (IST)	2015-05-26 18:16:15 (IST)	2015-05-26 18:16:15 (IST)	2015-05-26 18:16:15 (IST)	132416	0	0
+++++++ r/r 110-128-4:	{AFBF9F1A-8EE8-4C77-AF34-C647E37CA0D9}.1.ver0x0000000000000005.db	2015-05-26 18:15:54 (IST)	2015-05-26 18:15:54 (IST)	2015-05-26 18:15:54 (IST)	2015-05-26 18:15:54 (IST)	136424	0	0
++++++ d/d 191-144-5:	Explorer	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2014-01-25 23:57:40 (IST)	56	0	0
+++++++ r/r 4004-128-4:	ExplorerStartupLog.etl	2015-05-26 18:16:16 (IST)	2015-05-26 18:16:16 (IST)	2015-05-26 18:16:16 (IST)	2015-05-26 18:16:16 (IST)	32768	0	0
+++++++ r/r 192-128-4:	ExplorerStartupLog_RunOnce.etl	2015-05-26 18:15:54 (IST)	2015-05-26 18:15:54 (IST)	2015-05-26 18:15:54 (IST)	2015-05-26 18:15:54 (IST)	16384	0	0
+++++++ r/r 4190-128-1:	thumbcache_1024.db	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	24	0	0
+++++++ r/r 4189-128-4:	thumbcache_256.db	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	1048576	0	0
+++++++ r/r 4187-128-4:	thumbcache_32.db	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	1048576	0	0
+++++++ r/r 4188-128-4:	thumbcache_96.db	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	1048576	0	0
+++++++ r/r 4186-128-4:	thumbcache_idx.db	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	3256	0	0
+++++++ r/r 4191-128-1:	thumbcache_sr.db	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	2015-05-26 18:16:18 (IST)	24	0	0
++++++ d/d 3466-144-1:	GameExplorer	2014-02-11 19:23:29 (IST)	2014-02-11 19:23:29 (IST)	2015-05-26 18:16:16 (IST)	2014-01-25 23:57:38 (IST)	264	0	0
+++++++ d/d 3467-144-1:	GameStatistics	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2014-02-11 19:23:29 (IST)	312	0	0
++++++++ d/d 3468-144-1:	{89FE5CB3-11CB-489C-AC0D-0C0B6707E1F6}	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2014-02-11 19:23:29 (IST)	344	0	0
+++++++++ r/r 3469-128-4:	{89FE5CB3-11CB-489C-AC0D-0C0B6707E1F6}.gamestats	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	2015-05-26 18:16:10 (IST)	3074	0	0
++++++ d/d 93-144-1:	History	2014-02-10 20:21:45 (IST)	2014-02-10 20:21:45 (IST)	2015-05-26 18:16:16 (IST)	2014-01-25 23:57:38 (IST)	344	0	0
